workerid,problem,treatment,domain,questions,options,votes,predictions,elicitation_format
259,3,4,3,18,"[12, 18, 24, 30]","[12, 30, 18, 24]",[],rank-none
259,4,4,2,17,"[2, 8, 14, 20]","[2, 14, 20, 8]",[],rank-none
259,5,4,1,14,"[27, 33, 39, 45]","[33, 39, 45, 27]",[],rank-none
259,6,5,3,2,"[3, 9, 15, 21]","[15, 21, 3, 9]",[3],rank-top
259,7,5,2,17,"[2, 8, 14, 20]","[2, 14, 20, 8]",[2],rank-top
259,8,5,3,11,"[21, 27, 33, 39]","[21, 27, 39, 33]",[39],rank-top
259,9,5,2,14,"[27, 33, 39, 45]","[33, 39, 27, 45]",[39],rank-top
259,10,5,1,3,"[5, 11, 17, 23]","[11, 17, 5, 23]",[11],rank-top
260,1,3,3,1,"[1, 7, 13, 19]",[1],"[1, 7, 13, 19]",top-rank
260,2,3,3,17,"[2, 8, 14, 20]",[14],"[14, 20, 8, 2]",top-rank
260,3,3,1,14,"[27, 33, 39, 45]",[33],"[33, 45, 39, 27]",top-rank
260,4,3,1,11,"[21, 27, 33, 39]",[21],"[21, 33, 39, 27]",top-rank
260,5,3,2,16,"[31, 37, 43, 49]",[37],"[37, 49, 31, 43]",top-rank
260,6,5,3,20,"[32, 38, 44, 50]","[38, 44, 32, 50]",[38],rank-top
260,7,5,3,17,"[2, 8, 14, 20]","[2, 14, 20, 8]",[14],rank-top
260,8,5,1,1,"[1, 7, 13, 19]","[1, 13, 19, 7]",[1],rank-top
260,9,5,1,5,"[9, 15, 21, 27]","[21, 9, 15, 27]",[21],rank-top
260,10,5,2,7,"[13, 19, 25, 31]","[19, 31, 25, 13]",[19],rank-top
261,1,5,1,3,"[5, 11, 17, 23]","[5, 17, 11, 23]",[5],rank-top
261,2,5,2,14,"[27, 33, 39, 45]","[33, 39, 27, 45]",[33],rank-top
261,3,5,3,1,"[1, 7, 13, 19]","[1, 19, 13, 7]",[13],rank-top
261,4,5,2,9,"[17, 23, 29, 35]","[17, 23, 29, 35]",[17],rank-top
261,5,5,3,20,"[32, 38, 44, 50]","[50, 38, 44, 32]",[44],rank-top
261,6,2,1,7,"[13, 19, 25, 31]",[19],[19],top-top
261,7,2,2,7,"[13, 19, 25, 31]",[31],[19],top-top
261,8,2,3,17,"[2, 8, 14, 20]",[14],[20],top-top
261,9,2,2,4,"[7, 13, 19, 25]",[19],[19],top-top
261,10,2,3,3,"[5, 11, 17, 23]",[17],[5],top-top
262,1,3,3,6,"[11, 17, 23, 29]",[23],"[11, 23, 29, 17]",top-rank
262,2,3,3,5,"[9, 15, 21, 27]",[15],"[21, 15, 27, 9]",top-rank
262,3,3,3,15,"[29, 35, 41, 47]",[41],"[35, 41, 29, 47]",top-rank
262,4,3,2,17,"[2, 8, 14, 20]",[20],"[2, 20, 14, 8]",top-rank
262,5,3,3,8,"[15, 21, 27, 33]",[15],"[15, 21, 33, 27]",top-rank
262,6,1,3,1,"[1, 7, 13, 19]",[1],[],top-none
262,7,1,3,2,"[3, 9, 15, 21]",[15],[],top-none
262,8,1,3,3,"[5, 11, 17, 23]",[23],[],top-none
262,9,1,2,1,"[1, 7, 13, 19]",[7],[],top-none
262,10,1,3,4,"[7, 13, 19, 25]",[7],[],top-none
263,1,4,3,12,"[23, 29, 35, 41]","[41, 29, 35, 23]",[],rank-none
263,2,4,3,19,"[22, 28, 34, 40]","[34, 40, 22, 28]",[],rank-none
263,3,4,2,10,"[19, 25, 31, 37]","[25, 31, 19, 37]",[],rank-none
263,4,4,2,17,"[2, 8, 14, 20]","[2, 20, 8, 14]",[],rank-none
263,5,4,3,16,"[31, 37, 43, 49]","[37, 49, 43, 31]",[],rank-none
263,6,2,3,2,"[3, 9, 15, 21]",[21],[21],top-top
263,7,2,3,8,"[15, 21, 27, 33]",[33],[15],top-top
263,8,2,2,8,"[15, 21, 27, 33]",[27],[27],top-top
263,9,2,2,7,"[13, 19, 25, 31]",[25],[31],top-top
263,10,2,3,6,"[11, 17, 23, 29]",[29],[17],top-top
264,1,5,2,2,"[3, 9, 15, 21]","[15, 21, 9, 3]",[15],rank-top
264,2,5,3,7,"[13, 19, 25, 31]","[31, 13, 19, 25]",[25],rank-top
264,3,5,3,10,"[19, 25, 31, 37]","[19, 31, 37, 25]",[25],rank-top
264,4,5,1,10,"[19, 25, 31, 37]","[19, 25, 37, 31]",[37],rank-top
264,5,5,2,20,"[32, 38, 44, 50]","[38, 32, 50, 44]",[50],rank-top
264,6,6,2,9,"[17, 23, 29, 35]","[29, 35, 17, 23]","[35, 29, 17, 23]",rank-rank
264,7,6,3,9,"[17, 23, 29, 35]","[29, 23, 35, 17]","[29, 23, 17, 35]",rank-rank
264,8,6,3,5,"[9, 15, 21, 27]","[21, 15, 27, 9]","[21, 15, 27, 9]",rank-rank
264,9,6,1,1,"[1, 7, 13, 19]","[7, 19, 13, 1]","[13, 7, 19, 1]",rank-rank
264,10,6,2,10,"[19, 25, 31, 37]","[19, 37, 25, 31]","[31, 19, 37, 25]",rank-rank
265,1,2,2,6,"[11, 17, 23, 29]",[11],[29],top-top
265,2,2,1,15,"[29, 35, 41, 47]",[29],[29],top-top
265,3,2,1,7,"[13, 19, 25, 31]",[19],[13],top-top
265,4,2,3,12,"[23, 29, 35, 41]",[29],[23],top-top
265,5,2,3,4,"[7, 13, 19, 25]",[7],[7],top-top
265,6,4,2,1,"[1, 7, 13, 19]","[1, 7, 19, 13]",[],rank-none
265,7,4,1,13,"[25, 31, 37, 43]","[25, 37, 31, 43]",[],rank-none
265,8,4,1,9,"[17, 23, 29, 35]","[29, 23, 35, 17]",[],rank-none
265,9,4,3,6,"[11, 17, 23, 29]","[17, 23, 29, 11]",[],rank-none
265,10,4,3,20,"[32, 38, 44, 50]","[38, 44, 32, 50]",[],rank-none
266,1,2,1,2,"[3, 9, 15, 21]",[3],[3],top-top
266,2,2,3,4,"[7, 13, 19, 25]",[13],[7],top-top
266,3,2,1,19,"[22, 28, 34, 40]",[28],[22],top-top
266,4,2,3,10,"[19, 25, 31, 37]",[31],[19],top-top
266,5,2,3,1,"[1, 7, 13, 19]",[13],[19],top-top
266,6,6,1,3,"[5, 11, 17, 23]","[5, 11, 17, 23]","[5, 11, 17, 23]",rank-rank
266,7,6,3,20,"[32, 38, 44, 50]","[38, 50, 32, 44]","[38, 32, 44, 50]",rank-rank
266,8,6,1,1,"[1, 7, 13, 19]","[1, 13, 7, 19]","[1, 19, 13, 7]",rank-rank
266,9,6,3,18,"[12, 18, 24, 30]","[24, 30, 18, 12]","[24, 18, 12, 30]",rank-rank
266,10,6,3,1,"[1, 7, 13, 19]","[13, 19, 7, 1]","[19, 13, 7, 1]",rank-rank
267,1,4,1,7,"[13, 19, 25, 31]","[19, 13, 31, 25]",[],rank-none
267,2,4,2,20,"[32, 38, 44, 50]","[38, 32, 50, 44]",[],rank-none
267,3,4,2,4,"[7, 13, 19, 25]","[19, 7, 25, 13]",[],rank-none
267,4,4,3,13,"[25, 31, 37, 43]","[25, 31, 43, 37]",[],rank-none
267,5,4,1,3,"[5, 11, 17, 23]","[11, 17, 23, 5]",[],rank-none
267,6,5,1,18,"[12, 18, 24, 30]","[30, 24, 18, 12]",[30],rank-top
267,7,5,2,17,"[2, 8, 14, 20]","[14, 8, 2, 20]",[14],rank-top
267,8,5,2,19,"[22, 28, 34, 40]","[40, 22, 34, 28]",[40],rank-top
267,9,5,3,16,"[31, 37, 43, 49]","[49, 31, 37, 43]",[49],rank-top
267,10,5,1,7,"[13, 19, 25, 31]","[19, 13, 25, 31]",[19],rank-top
268,1,2,3,9,"[17, 23, 29, 35]",[35],[29],top-top
268,2,2,3,3,"[5, 11, 17, 23]",[17],[23],top-top
268,3,2,3,13,"[25, 31, 37, 43]",[37],[37],top-top
268,4,2,1,19,"[22, 28, 34, 40]",[40],[22],top-top
268,5,2,3,20,"[32, 38, 44, 50]",[50],[38],top-top
268,6,4,3,10,"[19, 25, 31, 37]","[37, 31, 19, 25]",[],rank-none
268,7,4,3,5,"[9, 15, 21, 27]","[21, 15, 27, 9]",[],rank-none
268,8,4,3,12,"[23, 29, 35, 41]","[35, 29, 23, 41]",[],rank-none
268,9,4,1,1,"[1, 7, 13, 19]","[1, 13, 7, 19]",[],rank-none
268,10,4,3,17,"[2, 8, 14, 20]","[2, 14, 20, 8]",[],rank-none
269,1,6,1,19,"[22, 28, 34, 40]","[28, 22, 40, 34]","[22, 28, 34, 40]",rank-rank
269,2,6,1,14,"[27, 33, 39, 45]","[33, 45, 39, 27]","[33, 45, 39, 27]",rank-rank
269,3,6,1,20,"[32, 38, 44, 50]","[32, 38, 50, 44]","[38, 32, 50, 44]",rank-rank
269,4,6,2,3,"[5, 11, 17, 23]","[5, 23, 11, 17]","[5, 23, 17, 11]",rank-rank
269,5,6,2,16,"[31, 37, 43, 49]","[49, 31, 37, 43]","[31, 37, 49, 43]",rank-rank
269,6,3,1,9,"[17, 23, 29, 35]",[29],"[29, 17, 23, 35]",top-rank
269,7,3,1,16,"[31, 37, 43, 49]",[37],"[37, 31, 43, 49]",top-rank
269,8,3,1,15,"[29, 35, 41, 47]",[41],"[41, 29, 35, 47]",top-rank
269,9,3,2,12,"[23, 29, 35, 41]",[23],"[23, 35, 29, 41]",top-rank
269,10,3,2,15,"[29, 35, 41, 47]",[35],"[35, 29, 41, 47]",top-rank
270,1,4,1,12,"[23, 29, 35, 41]","[35, 23, 41, 29]",[],rank-none
270,2,4,3,11,"[21, 27, 33, 39]","[33, 21, 39, 27]",[],rank-none
270,3,4,3,16,"[31, 37, 43, 49]","[43, 37, 31, 49]",[],rank-none
270,4,4,1,10,"[19, 25, 31, 37]","[19, 37, 31, 25]",[],rank-none
270,5,4,2,3,"[5, 11, 17, 23]","[5, 23, 17, 11]",[],rank-none
270,6,6,1,17,"[2, 8, 14, 20]","[8, 2, 14, 20]","[2, 20, 14, 8]",rank-rank
270,7,6,3,19,"[22, 28, 34, 40]","[28, 40, 22, 34]","[28, 40, 22, 34]",rank-rank
270,8,6,3,9,"[17, 23, 29, 35]","[23, 35, 29, 17]","[35, 29, 23, 17]",rank-rank
270,9,6,1,18,"[12, 18, 24, 30]","[18, 12, 24, 30]","[18, 24, 30, 12]",rank-rank
270,10,6,2,16,"[31, 37, 43, 49]","[43, 31, 49, 37]","[43, 31, 49, 37]",rank-rank
271,1,2,3,5,"[9, 15, 21, 27]",[21],[15],top-top
271,2,2,1,15,"[29, 35, 41, 47]",[29],[41],top-top
271,3,2,2,10,"[19, 25, 31, 37]",[19],[19],top-top
271,4,2,1,1,"[1, 7, 13, 19]",[1],[1],top-top
271,5,2,1,7,"[13, 19, 25, 31]",[25],[19],top-top
271,6,6,3,1,"[1, 7, 13, 19]","[1, 7, 13, 19]","[7, 1, 19, 13]",rank-rank
271,7,6,1,1,"[1, 7, 13, 19]","[1, 7, 13, 19]","[1, 19, 7, 13]",rank-rank
271,8,6,2,1,"[1, 7, 13, 19]","[19, 7, 1, 13]","[19, 7, 13, 1]",rank-rank
271,9,6,1,2,"[3, 9, 15, 21]","[3, 15, 9, 21]","[3, 9, 15, 21]",rank-rank
271,10,6,1,3,"[5, 11, 17, 23]","[11, 23, 5, 17]","[11, 17, 5, 23]",rank-rank
272,1,3,2,12,"[23, 29, 35, 41]",[23],"[35, 23, 41, 29]",top-rank
272,2,3,2,14,"[27, 33, 39, 45]",[39],"[39, 33, 27, 45]",top-rank
272,3,3,3,3,"[5, 11, 17, 23]",[23],"[23, 11, 17, 5]",top-rank
272,4,3,2,7,"[13, 19, 25, 31]",[31],"[31, 25, 13, 19]",top-rank
272,5,3,2,17,"[2, 8, 14, 20]",[14],"[14, 8, 20, 2]",top-rank
272,6,4,2,15,"[29, 35, 41, 47]","[35, 41, 29, 47]",[],rank-none
272,7,4,2,5,"[9, 15, 21, 27]","[21, 15, 9, 27]",[],rank-none
272,8,4,3,6,"[11, 17, 23, 29]","[23, 11, 29, 17]",[],rank-none
272,9,4,2,16,"[31, 37, 43, 49]","[31, 49, 37, 43]",[],rank-none
272,10,4,2,20,"[32, 38, 44, 50]","[38, 50, 32, 44]",[],rank-none
273,1,5,1,11,"[21, 27, 33, 39]","[39, 21, 33, 27]",[39],rank-top
273,2,5,3,13,"[25, 31, 37, 43]","[25, 43, 31, 37]",[25],rank-top
273,3,5,1,15,"[29, 35, 41, 47]","[35, 29, 41, 47]",[41],rank-top
273,4,5,3,7,"[13, 19, 25, 31]","[25, 13, 31, 19]",[25],rank-top
273,5,5,2,10,"[19, 25, 31, 37]","[37, 31, 25, 19]",[31],rank-top
273,6,2,1,9,"[17, 23, 29, 35]",[35],[35],top-top
273,7,2,3,12,"[23, 29, 35, 41]",[41],[41],top-top
273,8,2,1,3,"[5, 11, 17, 23]",[17],[17],top-top
273,9,2,3,11,"[21, 27, 33, 39]",[33],[33],top-top
273,10,2,2,6,"[11, 17, 23, 29]",[29],[29],top-top
274,1,2,3,16,"[31, 37, 43, 49]",[49],[31],top-top
274,2,2,3,19,"[22, 28, 34, 40]",[40],[22],top-top
274,3,2,1,1,"[1, 7, 13, 19]",[1],[1],top-top
274,4,2,3,3,"[5, 11, 17, 23]",[17],[11],top-top
274,5,2,1,9,"[17, 23, 29, 35]",[17],[17],top-top
274,6,6,3,9,"[17, 23, 29, 35]","[35, 29, 23, 17]","[23, 35, 17, 29]",rank-rank
274,7,6,3,20,"[32, 38, 44, 50]","[38, 44, 50, 32]","[44, 38, 32, 50]",rank-rank
274,8,6,1,5,"[9, 15, 21, 27]","[9, 21, 15, 27]","[27, 21, 9, 15]",rank-rank
274,9,6,3,18,"[12, 18, 24, 30]","[12, 30, 24, 18]","[18, 24, 30, 12]",rank-rank
274,10,6,1,7,"[13, 19, 25, 31]","[25, 31, 19, 13]","[19, 31, 25, 13]",rank-rank
275,1,5,2,19,"[22, 28, 34, 40]","[22, 28, 34, 40]",[28],rank-top
275,2,5,3,12,"[23, 29, 35, 41]","[35, 29, 41, 23]",[35],rank-top
275,3,5,1,9,"[17, 23, 29, 35]","[17, 35, 29, 23]",[17],rank-top
275,4,5,2,12,"[23, 29, 35, 41]","[35, 23, 41, 29]",[35],rank-top
275,5,5,1,3,"[5, 11, 17, 23]","[5, 17, 11, 23]",[5],rank-top
275,6,6,2,20,"[32, 38, 44, 50]","[38, 44, 32, 50]","[38, 44, 32, 50]",rank-rank
275,7,6,3,16,"[31, 37, 43, 49]","[49, 37, 43, 31]","[37, 49, 43, 31]",rank-rank
275,8,6,1,18,"[12, 18, 24, 30]","[18, 12, 30, 24]","[30, 24, 18, 12]",rank-rank
275,9,6,2,4,"[7, 13, 19, 25]","[7, 19, 25, 13]","[7, 25, 13, 19]",rank-rank
275,10,6,1,9,"[17, 23, 29, 35]","[17, 35, 29, 23]","[17, 29, 35, 23]",rank-rank
276,1,5,1,14,"[27, 33, 39, 45]","[27, 39, 45, 33]",[33],rank-top
276,2,5,2,15,"[29, 35, 41, 47]","[35, 41, 47, 29]",[35],rank-top
276,3,5,2,19,"[22, 28, 34, 40]","[34, 40, 28, 22]",[34],rank-top
276,4,5,3,15,"[29, 35, 41, 47]","[47, 29, 41, 35]",[41],rank-top
276,5,5,2,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[2],rank-top
276,6,6,1,19,"[22, 28, 34, 40]","[22, 34, 40, 28]","[40, 34, 22, 28]",rank-rank
276,7,6,2,13,"[25, 31, 37, 43]","[31, 37, 25, 43]","[43, 25, 31, 37]",rank-rank
276,8,6,2,17,"[2, 8, 14, 20]","[2, 14, 8, 20]","[8, 20, 2, 14]",rank-rank
276,9,6,3,17,"[2, 8, 14, 20]","[2, 14, 20, 8]","[8, 20, 2, 14]",rank-rank
276,10,6,2,2,"[3, 9, 15, 21]","[15, 3, 9, 21]","[15, 3, 9, 21]",rank-rank
277,1,3,2,10,"[19, 25, 31, 37]",[31],"[31, 19, 37, 25]",top-rank
277,2,3,2,5,"[9, 15, 21, 27]",[21],"[15, 21, 27, 9]",top-rank
277,3,3,3,3,"[5, 11, 17, 23]",[17],"[11, 23, 17, 5]",top-rank
277,4,3,1,10,"[19, 25, 31, 37]",[31],"[31, 25, 19, 37]",top-rank
277,5,3,1,9,"[17, 23, 29, 35]",[35],"[35, 17, 29, 23]",top-rank
277,6,2,2,13,"[25, 31, 37, 43]",[31],[31],top-top
277,7,2,2,17,"[2, 8, 14, 20]",[14],[14],top-top
277,8,2,3,14,"[27, 33, 39, 45]",[39],[45],top-top
277,9,2,1,5,"[9, 15, 21, 27]",[9],[9],top-top
277,10,2,1,3,"[5, 11, 17, 23]",[5],[5],top-top
278,1,1,2,3,"[5, 11, 17, 23]",[5],[],top-none
278,2,1,2,6,"[11, 17, 23, 29]",[29],[],top-none
278,3,1,1,13,"[25, 31, 37, 43]",[25],[],top-none
278,4,1,3,9,"[17, 23, 29, 35]",[17],[],top-none
278,5,1,3,14,"[27, 33, 39, 45]",[45],[],top-none
278,6,5,2,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[2],rank-top
278,7,5,2,9,"[17, 23, 29, 35]","[29, 17, 23, 35]",[29],rank-top
278,8,5,1,14,"[27, 33, 39, 45]","[27, 33, 45, 39]",[27],rank-top
278,9,5,3,1,"[1, 7, 13, 19]","[7, 1, 19, 13]",[1],rank-top
278,10,5,3,7,"[13, 19, 25, 31]","[19, 13, 25, 31]",[13],rank-top
279,1,6,3,10,"[19, 25, 31, 37]","[25, 31, 19, 37]","[31, 37, 25, 19]",rank-rank
279,2,6,3,18,"[12, 18, 24, 30]","[12, 18, 30, 24]","[18, 30, 24, 12]",rank-rank
279,3,6,2,12,"[23, 29, 35, 41]","[35, 23, 29, 41]","[41, 23, 29, 35]",rank-rank
279,4,6,1,1,"[1, 7, 13, 19]","[1, 19, 13, 7]","[19, 7, 13, 1]",rank-rank
279,5,6,3,14,"[27, 33, 39, 45]","[45, 39, 27, 33]","[27, 45, 39, 33]",rank-rank
279,6,5,3,19,"[22, 28, 34, 40]","[34, 40, 22, 28]",[34],rank-top
279,7,5,3,1,"[1, 7, 13, 19]","[1, 7, 13, 19]",[1],rank-top
279,8,5,2,4,"[7, 13, 19, 25]","[7, 19, 25, 13]",[19],rank-top
279,9,5,1,3,"[5, 11, 17, 23]","[5, 11, 17, 23]",[5],rank-top
279,10,5,3,11,"[21, 27, 33, 39]","[27, 39, 33, 21]",[39],rank-top
280,1,3,1,16,"[31, 37, 43, 49]",[43],"[43, 49, 31, 37]",top-rank
280,2,3,2,1,"[1, 7, 13, 19]",[7],"[7, 1, 19, 13]",top-rank
280,3,3,2,20,"[32, 38, 44, 50]",[38],"[38, 32, 44, 50]",top-rank
280,4,3,2,2,"[3, 9, 15, 21]",[15],"[15, 21, 9, 3]",top-rank
280,5,3,3,20,"[32, 38, 44, 50]",[38],"[38, 50, 32, 44]",top-rank
280,6,2,1,16,"[31, 37, 43, 49]",[43],[31],top-top
280,7,2,2,8,"[15, 21, 27, 33]",[15],[15],top-top
280,8,2,2,13,"[25, 31, 37, 43]",[31],[37],top-top
280,9,2,2,1,"[1, 7, 13, 19]",[7],[7],top-top
280,10,2,3,7,"[13, 19, 25, 31]",[31],[25],top-top
281,1,5,1,5,"[9, 15, 21, 27]","[15, 27, 9, 21]",[15],rank-top
281,2,5,1,7,"[13, 19, 25, 31]","[13, 25, 19, 31]",[13],rank-top
281,3,5,3,2,"[3, 9, 15, 21]","[15, 3, 21, 9]",[15],rank-top
281,4,5,2,4,"[7, 13, 19, 25]","[7, 19, 13, 25]",[19],rank-top
281,5,5,1,4,"[7, 13, 19, 25]","[13, 25, 7, 19]",[13],rank-top
281,6,6,1,12,"[23, 29, 35, 41]","[29, 41, 35, 23]","[41, 29, 35, 23]",rank-rank
281,7,6,1,2,"[3, 9, 15, 21]","[15, 3, 9, 21]","[3, 9, 15, 21]",rank-rank
281,8,6,3,18,"[12, 18, 24, 30]","[18, 12, 30, 24]","[12, 18, 30, 24]",rank-rank
281,9,6,2,6,"[11, 17, 23, 29]","[23, 11, 17, 29]","[23, 11, 29, 17]",rank-rank
281,10,6,1,1,"[1, 7, 13, 19]","[1, 13, 19, 7]","[1, 13, 7, 19]",rank-rank
282,1,4,1,20,"[32, 38, 44, 50]","[32, 38, 44, 50]",[],rank-none
282,2,4,3,8,"[15, 21, 27, 33]","[15, 33, 27, 21]",[],rank-none
282,3,4,2,15,"[29, 35, 41, 47]","[47, 35, 29, 41]",[],rank-none
282,4,4,3,14,"[27, 33, 39, 45]","[39, 45, 27, 33]",[],rank-none
282,5,4,3,2,"[3, 9, 15, 21]","[3, 15, 21, 9]",[],rank-none
282,6,5,1,9,"[17, 23, 29, 35]","[17, 23, 29, 35]",[29],rank-top
282,7,5,3,14,"[27, 33, 39, 45]","[39, 45, 27, 33]",[39],rank-top
282,8,5,2,4,"[7, 13, 19, 25]","[7, 25, 19, 13]",[7],rank-top
282,9,5,3,19,"[22, 28, 34, 40]","[40, 34, 22, 28]",[34],rank-top
282,10,5,3,4,"[7, 13, 19, 25]","[25, 19, 7, 13]",[25],rank-top
283,1,1,3,6,"[11, 17, 23, 29]",[11],[],top-none
283,2,1,2,18,"[12, 18, 24, 30]",[30],[],top-none
283,3,1,3,1,"[1, 7, 13, 19]",[7],[],top-none
283,4,1,2,17,"[2, 8, 14, 20]",[8],[],top-none
283,5,1,1,7,"[13, 19, 25, 31]",[19],[],top-none
283,6,5,3,3,"[5, 11, 17, 23]","[17, 23, 11, 5]",[11],rank-top
283,7,5,2,5,"[9, 15, 21, 27]","[27, 15, 9, 21]",[15],rank-top
283,8,5,3,5,"[9, 15, 21, 27]","[21, 15, 27, 9]",[15],rank-top
283,9,5,2,1,"[1, 7, 13, 19]","[1, 7, 13, 19]",[7],rank-top
283,10,5,1,20,"[32, 38, 44, 50]","[32, 44, 38, 50]",[38],rank-top
284,1,5,2,5,"[9, 15, 21, 27]","[27, 21, 15, 9]",[27],rank-top
284,2,5,1,2,"[3, 9, 15, 21]","[9, 21, 3, 15]",[9],rank-top
284,3,5,2,16,"[31, 37, 43, 49]","[49, 31, 37, 43]",[49],rank-top
284,4,5,3,18,"[12, 18, 24, 30]","[24, 12, 18, 30]",[24],rank-top
284,5,5,2,1,"[1, 7, 13, 19]","[7, 1, 13, 19]",[7],rank-top
284,6,1,2,4,"[7, 13, 19, 25]",[7],[],top-none
284,7,1,1,10,"[19, 25, 31, 37]",[25],[],top-none
284,8,1,2,2,"[3, 9, 15, 21]",[3],[],top-none
284,9,1,3,12,"[23, 29, 35, 41]",[35],[],top-none
284,10,1,2,15,"[29, 35, 41, 47]",[35],[],top-none
285,1,5,1,19,"[22, 28, 34, 40]","[34, 22, 28, 40]",[22],rank-top
285,2,5,3,7,"[13, 19, 25, 31]","[25, 19, 31, 13]",[13],rank-top
285,3,5,2,16,"[31, 37, 43, 49]","[49, 31, 43, 37]",[31],rank-top
285,4,5,2,3,"[5, 11, 17, 23]","[5, 23, 17, 11]",[11],rank-top
285,5,5,1,1,"[1, 7, 13, 19]","[1, 13, 7, 19]",[7],rank-top
285,6,1,1,17,"[2, 8, 14, 20]",[2],[],top-none
285,7,1,3,1,"[1, 7, 13, 19]",[1],[],top-none
285,8,1,2,1,"[1, 7, 13, 19]",[7],[],top-none
285,9,1,2,19,"[22, 28, 34, 40]",[22],[],top-none
285,10,1,1,8,"[15, 21, 27, 33]",[21],[],top-none
286,1,2,1,13,"[25, 31, 37, 43]",[31],[31],top-top
286,2,2,2,7,"[13, 19, 25, 31]",[19],[25],top-top
286,3,2,2,20,"[32, 38, 44, 50]",[38],[38],top-top
286,4,2,1,17,"[2, 8, 14, 20]",[2],[20],top-top
286,5,2,3,10,"[19, 25, 31, 37]",[31],[37],top-top
286,6,1,1,10,"[19, 25, 31, 37]",[31],[],top-none
286,7,1,2,19,"[22, 28, 34, 40]",[22],[],top-none
286,8,1,2,3,"[5, 11, 17, 23]",[11],[],top-none
286,9,1,1,4,"[7, 13, 19, 25]",[7],[],top-none
286,10,1,3,3,"[5, 11, 17, 23]",[17],[],top-none
287,1,6,2,16,"[31, 37, 43, 49]","[31, 49, 37, 43]","[49, 31, 43, 37]",rank-rank
287,2,6,1,11,"[21, 27, 33, 39]","[21, 39, 33, 27]","[21, 39, 33, 27]",rank-rank
287,3,6,2,18,"[12, 18, 24, 30]","[30, 18, 24, 12]","[24, 30, 18, 12]",rank-rank
287,4,6,3,20,"[32, 38, 44, 50]","[32, 38, 50, 44]","[38, 44, 50, 32]",rank-rank
287,5,6,2,10,"[19, 25, 31, 37]","[31, 19, 37, 25]","[19, 37, 31, 25]",rank-rank
287,6,3,2,5,"[9, 15, 21, 27]",[27],"[15, 27, 21, 9]",top-rank
287,7,3,1,13,"[25, 31, 37, 43]",[25],"[25, 37, 31, 43]",top-rank
287,8,3,2,9,"[17, 23, 29, 35]",[17],"[35, 17, 23, 29]",top-rank
287,9,3,3,11,"[21, 27, 33, 39]",[39],"[21, 27, 39, 33]",top-rank
287,10,3,2,2,"[3, 9, 15, 21]",[15],"[15, 3, 21, 9]",top-rank
288,1,6,3,13,"[25, 31, 37, 43]","[37, 31, 25, 43]","[31, 37, 25, 43]",rank-rank
288,2,6,3,11,"[21, 27, 33, 39]","[21, 39, 27, 33]","[39, 21, 33, 27]",rank-rank
288,3,6,1,10,"[19, 25, 31, 37]","[31, 25, 19, 37]","[25, 31, 19, 37]",rank-rank
288,4,6,1,1,"[1, 7, 13, 19]","[1, 7, 13, 19]","[1, 13, 7, 19]",rank-rank
288,5,6,1,17,"[2, 8, 14, 20]","[2, 20, 8, 14]","[2, 20, 8, 14]",rank-rank
288,6,4,3,6,"[11, 17, 23, 29]","[29, 23, 11, 17]",[],rank-none
288,7,4,3,10,"[19, 25, 31, 37]","[31, 37, 19, 25]",[],rank-none
288,8,4,1,8,"[15, 21, 27, 33]","[15, 27, 21, 33]",[],rank-none
288,9,4,1,12,"[23, 29, 35, 41]","[23, 35, 29, 41]",[],rank-none
288,10,4,1,13,"[25, 31, 37, 43]","[25, 37, 43, 31]",[],rank-none
289,1,1,3,12,"[23, 29, 35, 41]",[35],[],top-none
289,2,1,1,2,"[3, 9, 15, 21]",[3],[],top-none
289,3,1,3,3,"[5, 11, 17, 23]",[11],[],top-none
289,4,1,1,14,"[27, 33, 39, 45]",[45],[],top-none
289,5,1,2,11,"[21, 27, 33, 39]",[33],[],top-none
289,6,6,3,8,"[15, 21, 27, 33]","[21, 15, 27, 33]","[21, 15, 27, 33]",rank-rank
289,7,6,1,4,"[7, 13, 19, 25]","[19, 13, 7, 25]","[19, 7, 25, 13]",rank-rank
289,8,6,3,5,"[9, 15, 21, 27]","[21, 15, 27, 9]","[21, 15, 27, 9]",rank-rank
289,9,6,1,15,"[29, 35, 41, 47]","[29, 35, 47, 41]","[29, 41, 47, 35]",rank-rank
289,10,6,2,14,"[27, 33, 39, 45]","[33, 27, 39, 45]","[27, 39, 33, 45]",rank-rank
290,1,2,2,11,"[21, 27, 33, 39]",[27],[21],top-top
290,2,2,1,15,"[29, 35, 41, 47]",[41],[41],top-top
290,3,2,1,4,"[7, 13, 19, 25]",[7],[7],top-top
290,4,2,3,11,"[21, 27, 33, 39]",[21],[39],top-top
290,5,2,3,14,"[27, 33, 39, 45]",[39],[45],top-top
290,6,1,2,6,"[11, 17, 23, 29]",[29],[],top-none
290,7,1,1,6,"[11, 17, 23, 29]",[23],[],top-none
290,8,1,1,8,"[15, 21, 27, 33]",[15],[],top-none
290,9,1,3,18,"[12, 18, 24, 30]",[30],[],top-none
290,10,1,3,12,"[23, 29, 35, 41]",[41],[],top-none
291,1,3,1,14,"[27, 33, 39, 45]",[39],"[39, 33, 45, 27]",top-rank
